Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/transformer/layer.2/attention/Transpose,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.2/attention/k_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.2/attention/k_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.2/attention/Reshape_1,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.2/attention/v_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.2/attention/v_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.2/attention/Reshape_2,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.2/attention/Transpose_1,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.2/attention/Div,Div,86016,0.01%,43008,0.01%,0,0.00%,1x12x14x64,1x12x14x64
/transformer/layer.2/attention/Transpose_2,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x64x14
